,smiles
19,Cc1ccc(NC(=O)/C=C/c2ccccc2)cc1C(=O)Nc1cnc2[nH]c(-c3ccccc3)nc2c1
20,COc1cccc(C(=O)c2sc(Nc3ccc(S(N)(=O)=O)cc3)nc2N)c1
21,Nc1cc(Cn2c(C(=O)[O-])c(-c3ccc[nH]c3=O)c3cc(C(F)(F)F)ccc32)ccn1
22,Nc1cc(Cn2c(C(=O)[O-])c(-n3c(=O)[nH]c4cscc4c3=O)c3cc(C(F)(F)F)ccc32)ccn1
23,O=C1NCC2(CC[NH2+]CC2)c2[nH]c(-c3ccnc(-c4ccc5c(c4)OCO5)n3)cc21
24,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)[O-])c2)c(Cl)c1
25,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2c(c1)OCO2
26,CC(=O)c1ccc(-c2ccc(CCC(O)CC(=O)[O-])cc2)cc1
27,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc(Nc3ccc4c(c3)CCCCC4=O)c2)cc1
28,Cc1c2c(n3c1CCC[NH+]1CCCC1CNc1cc-3ccc1C(N)=O)CC(C)(C)CC2=O
29,C[n+]1ccc(CNC(=O)C2CCCN2C(=O)C([NH3+])Cc2ccccc2)cc1
30,Cc1c2c(n3c1CCN(C(=O)C(C)[NH3+])CC(C)C(C)Nc1cc-3ccc1C(N)=O)CC(C)(C)CC2=O
31,Nc1nc(Nc2cccc(F)c2)sc1C(=O)c1ccccc1
32,CC(C)C(NC(=O)COc1ccccc1)C(=O)NC(Cc1ccccc1)C(O)C1OC1Cc1ccccc1
33,O=C([O-])CC(O)CCc1ccc(-c2ccccc2)cc1
34,CC(C)C(NC(=O)COc1ccccc1)C(=O)NC(Cc1ccccc1)C(O)C([NH3+])C(O)Cc1ccccc1
35,Cc1[nH]c(C(=O)NC2CCN(c3ncc(C(=O)[O-])s3)CC2F)c(Cl)c1Cl
36,CC(C)([NH3+])CNc1nc(-c2ccncc2)cc2cnccc12
37,C=C(C)C1CC=C(C)C(=O)C1
38,COc1ccc2c(-n3c(=O)n(Cc4cccc(C5(C)OC(=O)NC5=O)c4)c4ccccc43)noc2c1
39,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1
40,Cc1[nH]c(C(=O)NC2CCN(c3cc(C(N)=O)cc(Cl)n3)CC2)c(Cl)c1Cl
41,Cc1[nH]c(C(=O)NC2CCN(c3ncccc3[N+](=O)[O-])CC2)cc1Br
42,COc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1
43,Nc1cc(Cn2c(C(=O)[O-])c(-c3ccc[nH]c3=O)c3cc(Cl)ccc32)ccn1
44,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
45,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
46,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NN2C
47,CNC(=O)c1cn(-c2cc3c(=O)n(NS(C)(=O)=O)c(=O)[nH]c3cc2C(F)(F)F)cn1
48,NC(=O)c1ccc(Nc2nc(N)c(C(=O)c3cccnc3)s2)cc1
49,CNC(=O)C(NC(=O)C(CC(C)C)C(O)C(=O)N[O-])C(C)(C)C
50,O=C(CC(Cc1cccc(O)c1)C(=O)NC1c2ccccc2CC1O)N[O-]
51,O=C(OCc1ccccc1)C1CC2(C[NH2+]1)C(=O)Nc1ccccc12
52,O=C(OC1CCSc2ccc(Br)cc21)C1CC2(C[NH2+]1)C(=O)Nc1ccccc12
53,N#CC1(OC(=O)C2CC3(C[NH2+]2)C(=O)Nc2ccccc23)CCCCC1
54,N#Cc1ccc(COC(=O)C2CC3(C[NH2+]2)C(=O)Nc2ccccc23)cc1Br
55,O=C(Nc1ccccc1N1CC[NH2+]CC1)c1csc(-c2ccc3c(c2)CCO3)n1
56,CCn1c(=O)c(-c2cc(C(=O)NC3CC3)ccc2C)cc2nnc(-c3c(F)cccc3Cl)n21
57,O=C(Cc1ccc(OC(F)(F)F)cc1)Nc1cc(C2CC2)[nH]n1
58,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
59,CC(C)Nc1nc(N)c(C(=O)c2cccnc2)s1
60,COc1ccc(CC([NH3+])C(=O)[O-])cc1
61,COc1cccc(-c2cccc(C3CC3c3cc(=O)n(C)c(N)n3)c2)c1
62,CN1C(=O)CC(C)(CCc2ccccc2)N=C1N
63,O=C([O-])c1ccc(Nc2nccc(Nc3ccccc3)n2)cc1
64,O=C([O-])c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1
65,CS(=O)(=O)NC(=O)c1c(-c2ccc[nH]c2=O)c2c3c(ccc2n1Cc1cc(F)ccc1F)CCO3
66,O=C([O-])c1ccc(Nc2nccc(Nc3ccccc3OC(F)(F)F)n2)cc1
67,CC(=[NH2+])N1CCC(Oc2cc(C(=O)[O-])c3cc(C(C)C)n(Cc4ccc5ccc(C(N)=[NH2+])cc5c4)c3c2)CC1
68,CC(=[NH2+])N1CCC(Oc2ccc(N(Cc3ccc4ccc(C(N)=[NH2+])cc4c3)S(=O)(=O)CC(=O)[O-])cc2)CC1
69,O=P([O-])([O-])OP(=O)([O-])OCCCCO
70,CC(=O)CCCOP(=O)([O-])OP(=O)([O-])[O-]
71,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCCCC2)n1
72,C=C=CCOP(=O)([O-])OP(=O)([O-])[O-]
73,C=C1/C(=C\C=C2/CCCC3(C)C2CCC3C2(C)CC(CC(C)(C)O)CO2)CC(O)CC1O
74,Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1
75,O=C1NC(=O)C(c2ccccc2)(C2(c3ccccc3)NC(=O)NC2=O)N1
76,Cn1c(=O)[nH]c2ncc(-c3ccccc3)cc21
77,NC(Cc1cccc(Cl)c1)C(=O)N1CCN(C(=O)c2cc(F)ccc2F)CC1
78,Cn1c(=O)[nH]c2ncc(-c3cccc(C(N)=O)c3)cc21
79,Cc1cn(C2CC(O)C(CF)O2)c(=O)[nH]c1=O
80,CC(C)(CO)C1Cc2[nH]c(=O)c3ccccc3c2CO1
81,Oc1ccc(Cl)cc1-c1cc[nH]n1
82,NC(=O)c1ccc2cccc(O)c2n1
83,O=C(c1ccco1)c1c[nH]c2ccccc12
84,CC(C)=CCC/C(C)=C(\F)COP(=O)([O-])OP(=O)([O-])[O-]
85,Cc1cn(C2CC(O)C(COP(=O)([O-])OP(=O)([O-])OC3OC(C)C([NH3+])C(O)C3O)O2)c(=O)[nH]c1=O
86,CCC(O)(CC)c1ccc2c(-c3ccc(OC)cc3)c(-c3n[nH]c4ccsc34)[nH]c2c1
87,CCC(O)(CC)c1ccc2cc(-c3n[nH]c4cc(-c5ccccc5)sc34)[nH]c2c1
88,Nc1ccn(C2CSC(COP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)n1
89,C/C=C(\Oc1cccc(C(=O)[O-])c1O)C(=O)[O-]
90,Cc1cc(N)[nH+]c(-c2ccc(C[NH2+]CCc3cccc(F)c3)cc2)c1
91,CCC[NH+]1CCCC12CCN(C(C)C(=O)NC(Cc1ccccc1)C(O)C[NH2+]Cc1cccc(C(C)C)c1)C2=O
92,CCCOc1sc(C(=O)N2C3CCC2CC(c2cc(C[NH3+])ccc2F)C3)c(C)c1Br
93,O=C([O-])/C=C(\C=C(/O)C(=O)[O-])C(=O)[O-]
94,COc1ccc2ncnc(Nc3ccn(C)n3)c2c1
95,COc1ccc(C[NH2+]CCS(=O)(=O)[O-])cc1
96,O=C(NCCc1ccccc1)Nc1ccc2[nH]ncc2c1
97,COc1ccc2ccc(S(=O)(=O)N(Cc3ccsc3)C3CCN(Cc4csc(C(N)=[NH2+])c4)C3=O)cc2c1
98,[NH3+]Cc1ccc(NC(=O)c2c(O)ccc[n+]2Cc2nccn2Cc2ccccc2)cc1
99,O=C([O-])c1ccc2c(c1)OCO2
100,O=C([O-])c1cccc(Nc2ccc([N+](=O)[O-])c3ccccc23)c1
101,CC(CC(=O)[O-])c1n[nH]c2nc(N)[nH]c(=O)c2c1=O
102,C[NH+]1CCN(c2cnc3cc(C(F)(F)F)cc(NCc4cccc([N+](=O)[O-])c4)c3c2)CC1
103,O=C(Nc1cccc(-c2nnn[n-]2)c1)c1ccc2n[nH]cc2c1
104,O=C(Nc1cccc(-c2nnn[n-]2)c1)c1cccc(-c2ncccn2)c1
105,O=[N+]([O-])c1cccc(CNc2nc(C(F)(F)F)nc3ncc(-c4cnn(C5CC[NH2+]CC5)c4)cc23)c1
106,N#CC1(c2cccc(C(=O)Nc3cc(Oc4ccc5nc(NC(=O)C6CC6)sc5n4)ccc3F)c2Cl)CC1
107,O=C(Nc1cccc(-c2nnn[n-]2)c1)c1cccc2[nH]cnc12
108,O=C([O-])C1COc2ccccc2O1
109,CCOc1cc2[nH]c(-c3n[nH]cc3NC(=O)N(CC)CC)nc2cc1F
110,COc1cc(Nc2nccc(N3CCCC(C(=O)NCc4ccc(C)cc4)C3)n2)cc(OC)c1OC
111,COc1cnc2c(NCc3nnc4ccc(-c5cc(C)ns5)nn34)ccnc2c1
112,C=C(/N=C/c1c(COP(=O)([O-])[O-])cnc(C)c1O)C(=O)[O-]
113,O=P([O-])([O-])OP(=O)([O-])OCC/C=C/O
114,CS(=O)(=O)Nc1cccc(-c2cnc(N)c(C(=O)NCC3CC[NH2+]CC3)n2)c1
115,COC(C)C(=O)NC(Cc1cccc(-c2nccs2)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21
116,O=C(COc1ccccc1P(=O)([O-])[O-])NC1CCCC1
117,Cc1cc(C(=O)Nc2cccc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)c2)n(C)n1
118,O=C(COc1ccccc1P(=O)([O-])[O-])NC1CCCCC1
119,O=C(COc1ccccc1P(=O)([O-])[O-])Nc1cccc(Cl)c1Cl
120,CCC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OCC1CCC(=O)N1)S(=O)(=O)c1ccc2ncsc2c1
121,Nc1ccn(C2CC(O)C(COP(=O)([O-])NP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)n1
122,Nc1nc2c(c(C#CCCC[NH3+])cn2C2CC(O)C(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]1
123,Cc1[nH+]cc(COP(=O)([O-])[O-])c(CNc2cc3cn(-c4ccccc4)nc3n(O)c2=O)c1O
124,[NH3+]CCn1ccc2ccccc21
125,Cc1ccc(C(=O)Nc2ccc(C[NH+]3CC[NH+](C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12
126,C[NH+]1C(C)(C)CC(NC(=O)C(=O)Nc2ccc(Cl)c(F)c2)CC1(C)C
127,O=C1C(=O)N(C(c2ccccc2)c2ccccc2)C2C[NH2+]CC2N1C(c1ccccc1)c1ccccc1
128,c1ccc(C2CC[NH2+]CC2OCc2ccc3ccccc3c2)cc1
129,OC(CC1c2ccccc2Sc2ccccc21)C[NH+]1CCCC1
130,COC(CC(CCCC[NH2+]Cc1ccc(F)cc1)C(=O)N[O-])c1ccc(F)cc1
131,O=C(NCC12CCCC1C[NH2+]C2)C(=O)Nc1ccc(Cl)c(F)c1
132,COc1cccc(OCC(=O)Nc2ccc(-c3nc4ccccc4s3)cc2)c1
133,Cc1cn(C2CC(O)C(COP(=O)([O-])OP(=O)([O-])OC3CC([NH3+])C(O)C(C)O3)O2)c(=O)[nH]c1=O
134,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1O
135,N#Cc1cccc(CC(NS(=O)(=O)c2ccc3c(c2)CC[NH2+]C3)C(=O)N2CCCC2)c1
136,CC1(n2cnc3cnc4[nH]ccc4c32)CCN(S(C)(=O)=O)CC1
137,COc1ccc2nc(-c3ccccc3F)sc2c1
138,CC(C)(C)OC(=O)NC1CCC(n2cnc3cnc4[nH]ccc4c32)C1
139,[N-]=[N+]=NC1C(CO)OC(n2ccc(=O)[nH]c2=O)C1F
140,COC(=O)c1c(Cc2ccc(C(=O)NC3C4CC5CC3CC([NH3+])(C5)C4)cc2)c(=O)c2cccnc2n1-c1ccccc1
141,COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2
142,CC(C)[NH+]1CCCC1C(=O)N1CCC(n2cnc3cnc4[nH]ccc4c32)CC1
143,N#CCC(=O)N1CCCC(n2cnc3cnc4[nH]ccc4c32)C1
144,c1ccc(C[NH+]2CCC(n3cnc4cnc5[nH]ccc5c43)CC2)cc1
145,COc1ccc2c(NC(C)Cc3cc(C)[nH]n3)ncnc2c1OC
146,O=C(NCC[NH+]1CCOCC1)c1ccc(-c2nccc3ccccc23)cc1
147,Cc1cc2ccccc2c(-c2ccc(C(=O)NCC[NH+]3CCOCC3)cc2)n1
148,CCc1ccc(-c2ccc3c(c2)-c2[nH]ncc2S(=O)(=O)N3C)cc1
149,O=C([O-])c1ccc(-c2ccc3c(c2)nc(-c2c[nH]nc2-c2cccc(Cl)c2)n3CCCn2ccnc2)cc1
150,CCN1C(=O)C(c2cc(O)cc(-c3cccnc3)c2)C(=O)N(c2ccccc2)c2cc(C(F)(F)F)ccc21
151,CCc1cc(-c2ccc(C)o2)n(-c2ccc3c(c2)nc(-c2cc(C(=O)[O-])ccc2O)n3Cc2ccc(=O)[n-]c2)n1
152,O=c1c2ccccc2ncn1-c1ccccc1
153,O=C(Nc1ccccc1)c1cccnc1
154,CC1CCCCC1Oc1nc(N)c2c(=O)ccn(CC#N)c2n1
155,NC(=O)c1cnc(OC2CCCC2)nc1N
156,O=C(c1ccc(O)cc1)N1CCOCC1
157,Cc1noc(C)c1-c1ccc2c(c1)C(O)(c1ccccc1)CC2
158,CN(CCCC(=O)c1cccnc1)N=O
159,Nc1cccc(NS(=O)(=O)c2ccc(F)cc2)n1
160,OC1CCN(C(=S)c2c[nH]c3ccccc23)CC1
161,Oc1ccccc1C(=S)N1CCCC1
162,c1ccc2c(Cc3nc4cnccc4[nH]3)c[nH]c2c1
163,CCC(C(C)O)N1C(=O)C(C)(CC(=O)[O-])CC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1
164,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CNC(=O)c5cccc(F)c5)cc4)c3n2)c1
165,C#Cc1ccc(C#Cc2cn(C3CC(O)C(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O3)c(=O)[nH]c2=O)cc1
166,CCNC(=O)c1cc2c(-n3ccc(C(F)(F)F)n3)c(-c3cncc(C(=O)[O-])c3)cnc2[nH]1
167,Nc1nc(=O)c2ncc(C(=O)NCc3cnn[nH]3)nc2[nH]1
168,CC(C)[NH2+]CC(C(=O)N1CCN(c2ncnc3c2C(C)CC3O)CC1)c1ccc(Cl)cc1
169,COc1cccc(OC)c1C(=O)NC(C(=O)[O-])C1NC(C(=O)[O-])C(C)(C)S1
170,NC(=O)c1cccc(NC(=O)/C=C\C(=O)[O-])c1
171,CC1CCC(C(=O)N(c2cc(C#CC(C)(C)C)sc2C(=O)[O-])C(C)C)CC1
172,CC1CCC(C(=O)N(c2cc(C#CC(C)(C)C)sc2C(=O)[O-])N(C)C)CC1
173,O=CN([O-])CC(CC1CCCC1)C(=O)N1CCCC1C(=O)NC(=O)c1ccccc1
174,COC(=O)CC1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-n2c(C)nnc21
175,COCCCc1cc(Nc2nc(NCc3cc(C)no3)ncc2Br)n[nH]1
176,Cc1cc(CNc2ncc(Br)c(Nc3cc(CCc4ccccc4)[nH]n3)n2)on1
177,O=C([O-])C1CCCN(S(=O)(=O)c2ccc3ccccc3c2)C1
178,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCCC[NH+]2CCOCC2)cc1
179,O=c1nc(C2CCC[NH2+]2)[nH]c2c1oc1ccc(Cl)cc12
180,O=C([O-])c1cccc(S(=O)(=O)N2CCc3ccccc3C2)c1
181,NCCCC([NH3+])C(=O)NCCCCC([NH3+])C(=O)[O-]
182,[NH3+]CCCC([NH3+])C(=O)OP(=O)([O-])[O-]
183,CC1(Cc2cn(C3CC(O)C(CO)O3)c(=O)[nH]c2=O)CN(C2CC(O)C(CO)O2)C(=O)NC1=O
184,OCC12OCC3OC(CO)(OCC(O1)C(O)C2O)C(O)C3O
185,OCC1OC(CO)(OCC2OC(CO)(OCC3OC(O)(CO)C(O)C3O)C(O)C2O)C(O)C1O
186,CS(=O)(=O)NCc1nc2cnc3[nH]ccc3c2n1C1CC2CCC1C2
187,CC(C)Oc1cc(C[NH+]2CCC3(CC2C)CN(C)S(=O)(=O)N3c2cccc(F)c2)ccc1O
188,CC(C)Oc1cccc(C[NH+]2CCC3(CC2C)CN(C)S(=O)(=O)N3c2cccc(F)c2)c1
189,COC(=O)C1CCC(n2c(NC(=O)c3ccccc3)nc3ccc(C[NH+]4CCCCC4)cc32)CC1
190,CNc1nc2c(CC[NH2+]CC34CC5CC(CC(C5)C3)C4)c3[nH]c(N)[nH+]c(=O)c3cc2[nH]1
191,CCOc1cc(OCC#Cc2ccc3ccncc3c2)ccc1C[NH3+]
192,COCC1CCC2/C1=C\C1(C)CCC(C(C)C)=C1C(OC1OC(CO)C(O)C(O)C1O)C(O)C2C
193,CC(OP(=O)([O-])[O-])C(=O)[O-]
194,O=S(=O)([O-])CC[NH2+]Cc1cccc(F)c1
195,O=S(=O)([O-])CC[NH2+]Cc1cccc(Br)c1
196,COCCC1CC1c1cncc(OCC2CC[NH2+]2)c1
197,COc1ccc(Nc2nc(N3CCC(NC(=O)c4ccc(C(=O)[O-])cc4)C3)nc3scnc23)cc1OC
198,CC1CCCN1c1cccc(Nc2cc(-c3ccccc3)nn3ccnc23)n1
199,CCc1cccc(Nc2cc(NC3CCCCC3[NH3+])nnc2C(N)=O)n1
200,N#Cc1ccc2nc(Nc3ccc(Oc4ncccc4C(F)(F)F)cc3)[nH]c2c1
201,CC(C)(C)c1ccc(Nc2nc3ccc(C#N)cc3[nH]2)cc1
202,N#Cc1cccc(-c2csc(Nc3cc(F)ccc3O)n2)c1
203,CC(O)(C#Cc1ccc2c(c1)N(c1nc(N)ncc1Cl)CC2)c1nccs1
204,Cc1c(CN(C)C(=O)CCc2cnc3c(c2)CCC(=O)N3)oc2ccccc12
205,Cn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(C(F)(F)F)c2)c2c(N)ncnc21
206,Cc1onc(-c2ccccc2)c1C(=O)NC(C(=O)[O-])C1NC(C(=O)[O-])C(C)(C)S1
207,CCc1[nH]c2nc(Oc3cncnc3)nc(N3CC4C([NH3+])C4C3)c2c1Cl
208,O=c1[nH]cnc2c(CC[NH2+]CC3CCCCC3)c3nc(NCc4cccs4)[nH]c3cc12
209,Nc1[nH]c2c(CC[NH2+]CC3CCCCC3)c3nc(NCCc4ccccc4)[nH]c3cc2c(=O)[nH+]1
210,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cccc1Cl
211,O=C([O-])C1OC(Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O
212,Cc1ccc(Nc2cc(NC3CCCCC3[NH3+])nnc2C(N)=O)nc1C
213,NC(=O)c1cc2cc(Br)c(C(F)(F)F)nc2nc1N
214,COc1nc2nc(N)nc(N)c2nc1C
215,Nc1ncnc2c1ncn2C1O/C(=C/C([NH3+])CCC([NH3+])C(=O)[O-])C(O)C1O
216,C[N+]1(C)CC(O)CC1C(=O)[O-]
217,[NH3+]C1(C(=O)NC(CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
218,CC(=O)Nc1cc(Nc2cc(Nc3cn(C)c[nH+]3)n3ncc(C#N)c3n2)ccc1C
219,Cc1cn(C2CCC[NH+](Cc3ccc(C(=O)[O-])c(Oc4cccc(C(F)(F)F)c4)c3)C2)c(=O)[nH]c1=O
220,CCC(CO)N1C(=O)C(CC(=O)[O-])CC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1
221,Cc1cn(C2CCC[NH+](C(CC(C)(C)C)c3ccc(C(=O)[O-])c(Oc4cccc(Br)c4)c3)C2)c(=O)[nH]c1=O
222,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc3cc(C(=O)NC(C)C)[nH]c23)cc1
223,Cc1ncc(Cc2csc(CCO)c2C)c(N)n1
224,O=C(N[O-])C(O)C(O)C(O)CO
225,C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CN
226,C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])C[S-]
227,CN(c1ncccc1CNc1c(C#N)cnc2[nH]c(-c3ccccc3)cc12)S(C)(=O)=O
228,C[n+]1cccc(CNC(=O)C2CCCN2C(=O)C([NH3+])Cc2ccccc2)c1
229,NC(=[NH2+])c1ccc(CNC(=O)C2CCCN2C(=O)C[NH2+]C2CCCC2)cc1
230,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21
231,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-]
232,[NH3+]C(CCCC(=O)[O-])C(=O)[O-]
233,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCCCCCC(=O)[O-])cccc12
234,CCC1C(=O)N(C)c2cncnc2N1C1CCCC1
235,O=C1c2ccc(S(=O)(=O)[O-])cc2C(=O)c2ccc(S(=O)(=O)[O-])cc21
236,[NH3+]Cc1ccc2c(c1)C1(CCN(C(=O)/C=C/c3ccccc3)CC1)CO2
237,O=P([O-])([O-])C(O)(C1CCc2ccncc21)P(=O)([O-])[O-]
238,NC(=[NH2+])c1ccc(CNC(=O)C2CCCN2C(=O)C[NH2+]C2CCCCC2)cc1
239,c1ccc(NCc2cccnc2)cc1
240,O=C(C1=C(O)C(=O)N(c2ccc(Cl)c(C(=O)[O-])c2)C1c1cc(Br)cs1)c1ccccc1
241,NC(=[NH2+])c1ccc2nc(-c3ccccc3[O-])[nH]c2c1
242,OCC1OC(NC(=S)N/N=C/c2ccncc2)C(O)C(O)C1O
243,C[NH+]1CCN(c2ncnc3ccccc23)CC1
244,CCc1ccccc1CO
245,Nc1nc(NC2CCCCC2)sc1C(=O)c1cccnc1
246,NC(=[NH2+])c1ccc2nc(-c3cccc(-c4ccccc4)c3O)[nH]c2c1
247,NC(=[NH2+])c1cc2cc(-c3cccc(-c4ccccc4)c3[O-])[nH]c2cc1Cl
248,CC(C)COc1cccc(-c2nc3cc(F)c(C(N)=[NH2+])cc3[nH]2)c1O
249,NC(=[NH2+])c1ccc(NC(=O)c2ccccc2[O-])cc1
250,Cc1cc(I)c(O)c(C(=O)Nc2ccc(C(N)=[NH2+])c(Cl)c2)c1
251,O=C1NS(=O)(=O)Nc2c1ncn2C1OC(CO)C(O)C1O
252,CCC(Cc1ccc(OC)c(CNC(=O)c2ccc3ccc4cccc5ccc2c3c45)c1)C(=O)[O-]
253,O=C1NCC/C=C/CCCC(C(=O)NCc2ccccc2)C(=O)Cc2c(Cl)c(O)cc(O)c21
254,O=C(CO)COP(=O)([O-])[O-]
255,Cc1cn(C2CCC[NH+](C(CC(C)C)c3ccc(C(=O)[O-])c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O
256,CCCCCCCCCCCCCCCC(=O)NCC(=O)[O-]
257,O=[N+]([O-])c1ccccc1OC1OC(CO)C(O)C(O)C1O
258,O=C1OC(CO)C(O)C(O)C1O
259,Cc1cn(C2CCC[NH+](Cc3cccc(Oc4cccc(C(F)(F)F)c4)c3)C2)c(=O)[nH]c1=O
260,O=C([O-])c1cc2c(ccc3ccc4oc(C(=O)[O-])cc4c32)o1
261,CCNS(=O)(=O)c1ccc2c(c1)CN(C)C(=O)N2
262,C[N+](C)(C)CC(O)CC(=O)[O-]
263,CC(O)C1CCN(c2nccnc2Oc2ccc(Nc3nc4ccccc4s3)cc2)CC1
264,c1nc(N2CCC3(CCC[NH2+]C3)CC2)c2nc[nH]c2n1
265,OCC1CCN(c2ncccc2Oc2ccc(Nc3nc4ccccc4[nH]3)cc2)CC1
266,CCNC(=O)CCC/C=C\CC1C(O)CC(O)C1/C=C/C(O)CCc1ccccc1
267,CC(O)c1nc2cnc3[nH]ccc3c2n1C1CCC(CCC#N)CC1
268,Cc1cc(NC(=O)c2cnn3cccnc23)n(-c2cccc(Cl)c2)n1
269,COc1ccc(-c2cc(=O)c3ccc(O)cc3o2)cc1
270,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)ccc12
271,O=C([O-])CCC(=O)C1=CC=CC(O)C1C(=O)[O-]
272,OCC1OC(NC(=S)N/N=C/c2cccc(O)c2)C(O)C(O)C1O
273,CC(=O)NC1C(O)OC(COP(=O)([O-])[O-])C(O)C1O
274,O=C(Nc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1)c1cccs1
275,OCC1OC(NC(=S)N/N=C/c2ccc(Br)cc2)C(O)C(O)C1O
276,O=c1cc(-c2ccc(O)c(O)c2)oc2ccccc12
277,Cc1cn(C2CCCN(S(=O)(=O)c3ccc(O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O
278,Nc1ncnc2c1c(COc1cccc(Cl)c1)nn2C1CCOCC1
279,O=C([O-])C(=O)c1ccccc1
